Possession_Status,new_or_resale,furnishing,bathrooms,price,location,date_of_posting,facing,overlooking,area,BHK,config,flat_floor_no.,total_floors,no_of_parking,parking_type,longitude,latitude
received,Resale,Unfurnished,2.0,1.5,Crompton Greaves,"Jan 21, '21",North - East,other,850.0,2,apartment,19,22,0,Open,,
received,New Property,Semi-Furnished,2.0,0.27,Ambernath,"Jan 22, '21",East,other,609.0,1,apartment,6,7,1,Open,,
received,Resale,Semi-Furnished,2.0,1.45,Tilak Nagar - Harbour Line,"Jan 12, '21",East,main road,572.0,2,apartment,6,13,1,Open,,
received,Resale,Semi-Furnished,2.0,0.72,Kon Panvel,"Oct 04, '20",None,main road,255.0,2,apartment,10,32,0,Open,,
received,Resale,Unfurnished,1.0,1.1,Tarun Bharat Society,"Jan 07, '21",North,other,680.0,1,apartment,1,4,0,Open,,
received,Resale,Semi-Furnished,2.0,1.75,Evershine Nagar,"Nov 10, '20",North - East,main road,315.0,2,apartment,5,15,0,Open,,
received,Resale,Unfurnished,2.0,0.68,NG Park,"Jan 10, '21",None,main road,684.0,1,apartment,3,7,0,Open,-58.4372241,-34.5835458
received,Resale,Semi-Furnished,3.0,3.15,SV Patel Nagar,"Jan 16, '21",West,other,670.0,3,apartment,2,7,1,Open,,
received,New Property,Unfurnished,3.0,2.15,Mira Road East,"Jan 30, '21",South - East,other,1300.0,3,apartment,10,22,0,Open,,
received,Resale,Semi-Furnished,2.0,0.48,Satyam sheela,"Dec 20, '20",None,main road,525.0,3,apartment,3,8,0,Open,,
received,Resale,Semi-Furnished,2.0,1.15,Tilak Nagar - Harbour Line,"Jan 29, '21",East,main road,666.0,1,apartment,1,7,1,Open,,
received,Resale,Furnished,2.0,5.0,Jain Chowk,"Jan 26, '21",East,main road,539.0,2,apartment,1,3,0,Open,,
received,Resale,Furnished,3.0,0.96,Ulhasnagar,"Dec 03, '20",East,other,570.0,3,apartment,6,7,1,Open,,
received,Resale,Furnished,2.0,1.5,Chikuwadi,"Jan 14, '21",North - East,other,650.0,2,apartment,2,4,1,Open,,
received,Resale,Furnished,2.0,1.6,The Haripad Co Op Housing Society,"Jan 02, '21",None,main road,465.0,1,apartment,1,7,0,Open,,
received,Resale,Semi-Furnished,1.0,1.08,Near ITI college,"Dec 04, '20",None,other,875.0,1,apartment,5,6,0,Open,,
received,Resale,Semi-Furnished,2.0,2.48,CAMA Industrial Estate,"Jan 31, '21",East,other,2217.0,2,apartment,12,48,1,Covered,,
